nickname,characterName,position,attribute1,attribute2,attribute3,hand,hand(rarityName),head,head(rarityName),chest,chest(rarityName),waist,waist(rarityName),leg,leg(rarityName),foot,foot(rarityName),accessories1,accessories1(rarityName),accessories2,accessories2(rarityName),recovery,recovery(rarityName),accelerator,accelerator(rarityName),attack,attack(rarityName),defense,defense(rarityName),special,special(rarityName),neck,neck(rarityName),accessories3,accessories3(rarityName),accessories4,accessories4(rarityName),random,level,killCount,deathCount,assistCount,attackPoint,damagePoint,battlePoint,sightPoint,getCoin,spendConsumablesCoin,sentinelKillCount,demolisherKillCount,playTime,minLifeTime,maxLifeTime,responseTime,team,matchId,map
번개아저씨,휴톤,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 블래스터 비트 ,유니크,S 해일매리 패스,유니크,S 터스킨 ,유니크,S 데모닉 펀쳐,유니크,E 스톤 크래셔,유니크,S 아이언 룰러,유니크,지옥구멍 레그람,레어,바야바 아몬,레어,본 스파클링 ,레어,런업 스프린터,레어,아이리쉬 이펙트 ,레어,아이리쉬 타즈 ,레어,드래곤 플라이R,커먼,S 브레이킹 스매쉬,유니크,서든어퍼 레그람,레어,누크 퓨리피스트,유니크,False,32,0,6,5,10932,41337,222,282,9730,2800,8,2,1068,64,349,178,0,f6d5b91c01cf0147f64098224c7798da5cc244456e2f3961717ac9e52334e0f5,리버포드
키벨레,파수꾼 A,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,S 어센던트,유니크,S 피어싱 아이즈,유니크,S 무형의 감옥,유니크,S 짜여진 각본,유니크,S 하빈저,유니크,E 에고이스트,유니크,클로 에델슈타인,레어,크로우 바이알,레어,첼시 콜라 MAX,레어,레이븐 스프린터 ,레어,레이븐 파이크,레어,솔리드 스위퍼,레어,워든 맥시머,레어,E 잔혹한 모략가,유니크,시프트 바이알,레어,그라시아 에피칵스,유니크,False,49,3,4,6,39772,18719,193,133,15070,1600,7,24,1068,95,550,171,0,f6d5b91c01cf0147f64098224c7798da5cc244456e2f3961717ac9e52334e0f5,리버포드
프게유,클레어,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,S 천사의 한숨,유니크,S 아이비리그,유니크,E 리스키 스펙트럼 ,유니크,E 써쿨러 아미스트 ,유니크,E 승리의 기원,유니크,S 환호의 출발 ,유니크,블링걸-블링크,레어,분광의 살로스,레어,첼시 더블 버거,레어,런업 스프린터,레어,파이크 이펙션,레어,솔리드 스위퍼,레어,클렌징빔 임팩트,언커먼,E 슈팅 스타,유니크,클렌징빔 살로스,레어,레이저 피에스타,유니크,False,48,4,4,2,19949,26689,101,151,14970,2300,17,30,1068,183,336,107,0,f6d5b91c01cf0147f64098224c7798da5cc244456e2f3961717ac9e52334e0f5,리버포드
아이리오네,아이작,탱커,최후의 저항,재생의 숨결,불굴의 의지,E 리트릿 프리벤트,유니크,E 쇼업 데드맨,유니크,E 빅 블랙 머신,유니크,E 인휴먼 퍼슈어,유니크,E 킬링 머신,유니크,S 데드 컨트랩션,유니크,저지먼트 레그람,레어,레이지 레그람,레어,블랙 스파클링 ,레어,스프린터 프로빅,레어,블랙 이펙트,레어,블랙 타즈 ,레어,인사이트 엔진T7 ,언커먼,E 쇼 스탑퍼,유니크,데드맨 레그람,레어,데몰리쉬 에너미,유니크,False,45,2,4,15,14783,41907,285,497,14780,4100,12,3,1281,13,377,169,0,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
forF,히카르도,근거리딜러,속전속결,사냥꾼의 본능,거인 사냥꾼,S 복수의 인장,유니크,E 크래쉬 벤데타,유니크,S 절제된 분노,유니크,럽쳐링 엠블렘,레어,S 앤셔스 위시,유니크,SP와일드 메탈,레어,힐킥 알렉토,레어,부당거래 러스트,레어,체스터 더블버거,레어,리세스 스프린터,레어,파이크 이펙션,레어,스테민 터틀,레어,벌레 임팩트,언커먼,S 벤젼스 임프린트,유니크,벌레 알렉토,레어,불멸자 알렉토,레어,False,63,10,5,11,48372,45056,194,303,21440,5000,45,23,1281,60,674,201,0,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
부개동슈퍼스타,캐럴,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,S 프로즌 메모리,유니크,E 그 날의 기억,유니크,E 스노우 프린세스,유니크,E 지워진 약속,유니크,S 소녀의 다짐,유니크,E 첫눈의 발자국,유니크,고드름 큐트링,레어,빙판길 큐트링,레어,스노우 스파클링 ,레어,스노우 스프린터 ,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,고드름 임팩트,언커먼,E 해피 스노우맨,유니크,눈사람 토끼고리,레어,크리스마스 선물,유니크,False,67,6,10,15,40953,35536,184,255,19420,1600,32,21,1281,10,156,391,0,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
ㅣ아이작ㅣ,엘프리데,원거리딜러,완벽주의자,할인 판매,완전한 성장,S 결정적 순간,유니크,S 감춰진 시선,유니크,S 오버 필링,유니크,E 레스트레인트,유니크,S 완벽한 자유,유니크,S 온화한 발걸음,유니크,팰리스 메모,레어,저스티스 페인트북,레어,체스터 더블버거,레어,페이트 엑셀,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,타나토스 맥시머,레어,E 잔혹한 처벌,유니크,SB데블스 데브,레어,정해진 운명,유니크,False,66,15,5,10,64348,24321,201,318,21200,3350,17,28,1281,23,308,267,0,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
캐러비,레베카,탱커,기민한 몸놀림,재생의 숨결,불굴의 의지,E 베른 스트레이트,유니크,E 슈바이츠 프라이드,유니크,E 에실로프,유니크,S 에너제틱 머젼스,유니크,E 스폴리 인터라켄,유니크,S 루이너스 스탠스,유니크,크래쉬 레그람,레어,테라듀 레그람,레어,아이언 스파클링 ,레어,스프린터 프로빅,레어,아이언 파이크,레어,아이언 플래쉬,레어,뎀프시롤 임팩트,언커먼,S 페더럴 폴리스,유니크,롤링 메이웨더,레어,케이스 레그람,레어,False,52,3,5,13,23678,40349,390,500,16100,4300,7,6,1149,9,553,217,0,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
구리사퍼,타라,원거리딜러,완벽주의자,전세역전,준비된 한 발,E 데몰리션 파이어,유니크,E 아이리스 보터 ,유니크,플레어 플라밍고,레어,E 무크 디토네이터,유니크,스니치 파이어러,레어,블레이즈 힐 ,레어,불놀이 하우레스,레어,발화 하우레스,레어,토치 스파클링,레어,리세스 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,공간발화 임팩트,언커먼,E 스티즈 머쉬,유니크,불꽃마녀-혼불,레어,메테오 카티에르,유니크,False,66,6,8,13,62700,34323,179,236,21290,3200,23,36,1281,15,265,367,1,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
번개아저씨,제레온,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 그레이스 애퀼러,유니크,E 루미넌 애퀼러,유니크,S 로열 히페리온,유니크,E 템플러 소린,유니크,S 헤본 가디언,유니크,S 인그레이 가디언,유니크,가디언 레그람,레어,프렐류드 레그람,레어,로열 스파클링 ,레어,스프린터 프로빅,레어,로열 파이크,레어,로열 타즈 ,레어,드래곤 플라이R,커먼,S 바요넷 플로리쉬,유니크,템페스트 레그람,레어,임페리얼 나이트,유니크,False,43,1,6,12,15697,44789,346,460,13910,4300,6,4,1281,91,296,207,1,34d4a3eeb008ed88a8bb5bc8f2c6aa29ad79681b5b6b75e2cdcf99006f21fba4,그랑플람 아시아 지부
날자꾸나,린,탱커,최후의 저항,할인 판매,선봉장,E 모란꽃 손매듭,유니크,E 일곱빛깔 무지개,유니크,E 금선당 당의 ,유니크,E 오색칠보 노리개,유니크,E 천년의 기억,유니크,S 당혜,유니크,염동파 레그람,레어,참나무 레그람,레어,염동 스파클링 ,레어,스피드 파워업,언커먼,파이크 이펙션,레어,스테민 터틀,레어,T2 통신기,언커먼,E 단아한 미소,유니크,무쇠가위 레그람,레어,은협도,유니크,False,31,1,3,7,8394,36836,248,356,9210,2150,7,2,893,97,561,66,0,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
번개아저씨,제레온,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 그레이스 애퀼러,유니크,E 루미넌 애퀼러,유니크,S 로열 히페리온,유니크,E 템플러 소린,유니크,S 헤본 가디언,유니크,S 인그레이 가디언,유니크,가디언 레그람,레어,프렐류드 레그람,레어,로열 스파클링 ,레어,스프린터 프로빅,레어,로열 파이크,레어,로열 타즈 ,레어,드래곤 플라이R,커먼,S 바요넷 플로리쉬,유니크,템페스트 레그람,레어,임페리얼 나이트,유니크,False,27,0,5,6,8918,32289,163,242,9030,2800,11,3,893,110,267,113,0,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
벙쩌네,다이무스,근거리딜러,급소 가격,할인 판매,거인 사냥꾼,S 메이헨 슈나이더,유니크,E 베스페리아 ,유니크,E 우아한 궤적,유니크,E 골드 샤르페,유니크,E 펄션 필러 ,유니크,E 슈발츠 슈트름,유니크,그랜드소드-심안,레어,질풍의 베리드,레어,체스터 더블버거,레어,스피드 업,커먼,파이크 이펙션,레어,황색 다식,레어,하드스킨 버스터,레어,S 솔리튜드 칼리버,유니크,풀문 아피아골드,레어,쉬베르트 루프리,유니크,False,37,2,6,5,24199,33216,169,218,11490,2150,10,20,893,63,270,149,0,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
세자저하,하랑,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,S 호기만장,유니크,E 마파람,유니크,E 칠전팔기,유니크,E 가온누리,유니크,E 높새구름,유니크,E 천우신조,유니크,벽조목-자령,레어,제압 명주고리,레어,체스터 더블버거,레어,런업 스프린터,레어,파이크 이펙션,레어,하디스트 스위퍼,레어,서생원 임팩트,언커먼,E 사나운 패기,유니크,술령 명주고리,레어,벽조목-귀신불침,레어,False,49,5,3,5,33690,20866,136,159,14450,2400,16,30,893,102,547,107,0,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
배x리x나,리사,서포터,부서진 갑옷,충동 구매,보호 방벽,E 순백의 하모니,유니크,E 러브 앤 너버스,유니크,E 엔젤 심포니,유니크,S 절망 속 빛줄기,유니크,E 마음의 벽,유니크,E 소리없는 비명,유니크,칸타빌레 레그람,레어,단절의 티어즈,레어,아리아 스파클링,레어,페스티네이션,레어,아리아 이펙트,레어,솔리드 스위퍼,레어,천상의 임팩트,언커먼,포겟 미 낫,레어,천상 모렌도,레어,믿음의 트윈링,유니크,False,46,3,3,10,17910,23627,144,171,13530,1700,20,16,893,132,494,88,0,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
주희,타라,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,S 데몰리션 파이어,유니크,E 아이리스 보터 ,유니크,E 마녀의 유희,유니크,E 무크 디토네이터,유니크,E 스칼렛 랩소디,유니크,E 파이어 포르테,유니크,불놀이 파피스타,레어,발화 하우레스,레어,체스터 더블버거,레어,플레어 스프린터 ,레어,멜츠 어벤저,언커먼,베링거 터틀본,언커먼,공간발화 임팩트,언커먼,E 스티즈 머쉬,유니크,정념 하우레스,레어,메테오 카티에르,유니크,False,49,4,1,6,49924,11182,120,157,16370,3200,21,31,893,167,677,49,1,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
Killzo,파수꾼 A,원거리딜러,완벽주의자,전장의 학살자,전장의 열기,E 어센던트,유니크,E 피어싱 아이즈,유니크,S 무형의 감옥,유니크,E 짜여진 각본,유니크,S 하빈저,유니크,E 에고이스트,유니크,클로 에델슈타인,레어,크로우 바이알,레어,레이븐 스파클링,레어,런업 스프린터,레어,이펙트 이펙션,레어,레이븐 타즈,레어,워든 맥시머,레어,E 잔혹한 모략가,유니크,시프트 바이알,레어,그라시아 에피칵스,유니크,False,55,9,3,9,49043,18223,198,163,17350,3300,29,28,893,88,415,67,1,a4ab5e966cb4a2d06d7452e4435a46ba0a5596333845622066319ba0d5025068,리버포드
오짱,웨슬리,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 마인 익스프레스,유니크,E 퀘이크 프론,유니크,E 전장의 매,유니크,E 오퍼레이션 델타,유니크,E 데파르망 ,유니크,E 전쟁의 시작,유니크,공성류탄 할파스,레어,구급 US타이머,레어,체스터 더블버거,레어,런업 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,지원폭격 맥시머,레어,E 장군의 명예,유니크,지뢰 할파스,레어,최후의 폭격명령,유니크,False,62,5,3,22,39752,21123,207,299,19800,3800,27,19,1392,345,574,120,0,1fd460d3b30a4d736307a3a46736ef05af5f88fd427ca5f15bc590e05484a17d,브리스톨
건강한대장내시경,리첼,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 터쳐블 웨이브,유니크,E 러브 앤 헤이트,유니크,E 히든 하이라이트,유니크,E 그란디오소,유니크,E 다이나믹 딥퍼플,유니크,S 블랙캣 스텝,유니크,블래스트 레그람,레어,마이크온 레그람,레어,뮤지션 스파클링 ,레어,뮤지션 엑셀,레어,뮤지션 파이크 ,레어,뮤지션 플래쉬 ,레어,트론 통신기 C1,언커먼,E 안티 스타,유니크,DB바이올렛 데브,레어,약속의 트윈링,유니크,False,41,0,9,5,10448,54827,288,394,12420,2900,4,7,1392,57,235,245,0,1fd460d3b30a4d736307a3a46736ef05af5f88fd427ca5f15bc590e05484a17d,브리스톨
번개아저씨,아이작,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 리트릿 프리벤트,유니크,E 쇼업 데드맨,유니크,E 빅 블랙 머신,유니크,E 인휴먼 퍼슈어,유니크,E 킬링 머신,유니크,E 데드 컨트랩션,유니크,저지먼트 아바돈,레어,레이지 아바돈,레어,블랙 스파클링 ,레어,블랙 스프린터,레어,블랙 이펙트,레어,블랙 타즈 ,레어,DT 인사이트 R1,커먼,E 쇼 스탑퍼,유니크,그런트-레이지,레어,데몰리쉬 에너미,유니크,False,33,1,6,10,10981,55655,276,484,12460,4000,9,2,1392,61,385,134,0,1fd460d3b30a4d736307a3a46736ef05af5f88fd427ca5f15bc590e05484a17d,브리스톨
게이하르폰아르펜,다이무스,근거리딜러,최후의 일격,할인 판매,거인 사냥꾼,E 메이헨 슈나이더,유니크,E 베스페리아 ,유니크,E 우아한 궤적,유니크,S 골드 샤르페,유니크,E 펄션 필러 ,유니크,E 슈발츠 슈트름,유니크,장작 다이아프론,레어,질풍의 마르스,레어,액트 스파클링 ,레어,리세스 스프린터,레어,질풍의 이펙트 ,레어,솔리드 스위퍼,레어,보름달 임팩트,언커먼,E 솔리튜드 칼리버,유니크,보름달 베리드,레어,쉬베르트 루프리,유니크,False,64,7,6,10,31075,31601,184,268,20640,3010,29,27,1392,38,713,183,0,1fd460d3b30a4d736307a3a46736ef05af5f88fd427ca5f15bc590e05484a17d,브리스톨
뇌없플일안한다,디아나,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 앱솔루트 오더,유니크,E 퍼펙트 엠프레스,유니크,S 절대적 규율,유니크,E 임플리싯 룰,유니크,S 골져스 스네어,유니크,S 포스풀 컨트롤,유니크,채찍 언그람,언커먼,케이지 언그람,언커먼,첼시 콜라 V,레어,그레이스 스프린터,레어,이펙트 이펙션,레어,그레이스 플래쉬,레어,인사이트 엔진T7 ,언커먼,S 선택된 재능,유니크,파편 레그람,레어,씰 오브 드로스트,유니크,False,29,0,6,5,5478,33245,141,197,8270,1600,8,2,812,0,198,152,0,7830cf00b3e456dd4b5f6fc36bc640d8defc6b5852db485495430d128d0f8027,리버포드
배쒼자,다이무스,근거리딜러,속전속결,사냥꾼의 본능,급소 가격,E 메이헨 슈나이더,유니크,E 베스페리아 ,유니크,E 우아한 궤적,유니크,S 골드 샤르페,유니크,E 펄션 필러 ,유니크,E 슈발츠 슈트름,유니크,장작 베리드,레어,질풍의 베리드,레어,체스터 더블버거,레어,리세스 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,절명도 맥시머,레어,E 솔리튜드 칼리버,유니크,보름달 베리드,레어,쉬베르트 루프리,유니크,False,42,2,6,1,18981,18256,45,97,12110,1400,23,17,812,17,264,181,0,7830cf00b3e456dd4b5f6fc36bc640d8defc6b5852db485495430d128d0f8027,리버포드
345는거들뿐,미아,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,SP글리플 게브,레어,SP그레이스 포,레어,E 옐로우 루트웨이브,유니크,E 프릭클 에린,유니크,듀티 소리아노,레어,E 이네이쳐 게브,유니크,도장 바이리프,레어,가시 바이리프,레어,우드 스파클링 ,레어,우드 엑셀,레어,파이크 이펙션,레어,우드 타즈 ,레어,세계수 맥시머,레어,S 레드 크로니클,유니크,뿌리 바이리프,레어,트리콜로 트와인,유니크,False,39,1,5,2,12542,13261,42,73,12250,1500,15,25,812,60,256,112,0,7830cf00b3e456dd4b5f6fc36bc640d8defc6b5852db485495430d128d0f8027,리버포드
ResetN,드렉슬러,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 마노 레파르토,유니크,S 린 아르메,유니크,E 드래곤 스카,유니크,E 플랑베르 라비타,유니크,E 캐러비니어 ,유니크,S 폴링 스타,유니크,심판 시트리,레어,분열의 시트리,레어,체스터 더블버거,레어,런업 스프린터,레어,파이크 이펙션,레어,솔리드 스위퍼,레어,분열창 임팩트,언커먼,E 프라디지 드라군,유니크,나선창 시트리,레어,유성 무차스랜서,유니크,False,53,5,6,13,43108,26435,219,278,18270,4300,23,26,1154,43,397,236,0,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
번개아저씨,휴톤,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 블래스터 비트 ,유니크,S 해일매리 패스,유니크,S 터스킨 ,유니크,S 데모닉 펀쳐,유니크,E 스톤 크래셔,유니크,S 아이언 룰러,유니크,지옥구멍 레그람,레어,바야바 아몬,레어,본 스파클링 ,레어,런업 스프린터,레어,아이리쉬 이펙트 ,레어,아이리쉬 타즈 ,레어,드래곤 플라이R,커먼,S 브레이킹 스매쉬,유니크,서든어퍼 레그람,레어,누크 퓨리피스트,유니크,False,40,5,4,20,25395,41857,339,482,14010,4800,6,1,1154,37,587,177,0,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
RMTCRW,론,원거리딜러,충동 구매,사냥꾼의 본능,전장의 열기,E 자발적 복종,유니크,S 완벽한 계획,유니크,데스메탈재킷,레어,S 검은 의도,유니크,E 계획적 행동이론,유니크,S 모래위의 발자국,유니크,블래스팅 디펜더,레어,스팅어 데스링,레어,체스터 더블버거,레어,샌드 스프린터,레어,파이크 이펙션,레어,스테민 터틀,레어,스팅어 임팩트,언커먼,E 맹렬한 모래바람,유니크,DB더스트 데브,레어,설계된 죽음,유니크,False,64,6,2,9,53826,23846,259,362,20410,3500,33,38,1154,185,524,101,0,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
지노사,호타루,근거리딜러,거인 사냥꾼,제압,최후의 일격,E 아마테라스,유니크,E 백연 비천무,유니크,E 아카 토리노,유니크,E 팔문괘장,유니크,E 바케모노 가타리,유니크,E 은월기담,유니크,쐐기 카무이,레어,폭연 카무이,레어,체스터 더블버거,레어,리세스 스프린터,레어,폭연 파이크,레어,솔리드 스위퍼,레어,환영분신 맥시머,레어,E 아카 오오조라,유니크,비연폭 카무이,레어,환영술 두루마리,유니크,False,52,9,6,7,34982,21947,135,186,15310,2300,22,12,1154,5,311,295,0,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
솜과자,라이언,탱커,기민한 몸놀림,할인 판매,최후의 저항,S 크리티컬 블로우,유니크,E 끔찍한 기억,유니크,E 아름다운 지평선,유니크,S 헤카톤케이레스,유니크,E 디펜시브 엔드,유니크,S 오후의 죽음,유니크,블리츠 레그람,레어,블로킹 레그람,레어,스톤 스파클링,레어,런업 스프린터,레어,스톤 이펙트 ,레어,스톤 플래쉬 ,레어,인사이트 엔진T7 ,언커먼,골드 보타이,레어,스매시 부토니에,레어,오지 않을 미래,유니크,False,40,7,5,6,20971,41458,283,448,14370,4290,17,10,1154,53,407,165,0,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
루이논,제키엘,탱커,선봉장,재생의 숨결,최후의 저항,E 잔혹한 구원,유니크,E 안티 메시아,유니크,E 거부당한 기도,유니크,E 달콤한 모멸,유니크,E 불공정한 안식,유니크,E 약속된 재림,유니크,참혹한 암밴드,레어,단죄의 암밴드,레어,첼시 콜라 V,레어,스피드 업,커먼,파나틱 이펙트 ,레어,파나틱 플래쉬 ,레어,PS 레이더 R4,언커먼,E 노블 매니악,유니크,사도강림 레그람,레어,묵시록 레그람,레어,False,38,0,5,15,14257,51314,363,511,12990,3900,12,5,1154,78,341,119,1,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
멜번의하늘,제레온,탱커,불굴의 의지,재생의 숨결,최후의 저항,S 그레이스 애퀼러,유니크,E 루미넌 애퀼러,유니크,S 로열 히페리온,유니크,E 템플러 소린,유니크,E 헤본 가디언,유니크,S 인그레이 가디언,유니크,가디언 레그람,레어,프렐류드 레그람,레어,로열 스파클링 ,레어,엑셀레이션,레어,로열 파이크,레어,박씨,레어,DT 인사이트 R1,커먼,E 바요넷 플로리쉬,유니크,템페스트 레그람,레어,임페리얼 나이트,유니크,False,47,3,8,9,16180,45959,306,390,13590,2300,15,10,1154,42,365,192,1,e5dd368d4ac5fe080b5a8396e407d87239f0b6e94cc0016469a18f9cb10073cd,메트로폴리스
번개아저씨,브루스,탱커,불굴의 의지,재생의 숨결,최후의 저항,E 거침없는 발톱,유니크,E 황혼의 풍채,유니크,E 야성의 심장,유니크,E 승리의 상징,유니크,E 진중한 탐험가,유니크,E 기나긴 여정,유니크,맹수 레그람,레어,베어 레그람,레어,야수 스파클링 ,레어,야수 스프린터,레어,파이크 이펙션,레어,야수 타즈 ,레어,T11-스파이더,언커먼,E 행운의 증표,유니크,하울링 레그람,레어,와일드 프로브킷,레어,False,37,1,4,11,13551,34471,199,351,10040,2000,8,5,893,10,334,113,0,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
rrIlIIlI,루시,원거리딜러,준비된 한 발,전장의 학살자,완전한 성장,E 섬섬옥수,유니크,E 오발선빈,유니크,E 지체투향,유니크,E 세류요,유니크,S 작장중무,유니크,E 연보소말,유니크,SB낙화 루인,레어,반월 청옥석,레어,체스터 더블버거,레어,리세스 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,비단향꽃무 맥시머,레어,S 적월선,유니크,화무 청옥석,레어,절세가인,유니크,False,34,8,7,4,27687,27674,141,190,13180,3800,14,17,893,17,238,184,0,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
뀪꺆꾞껶,토마스,탱커,전선 유지,단단한 피부,선봉장,E 아이스 컴포지션,유니크,E 눈꽃의 지휘,유니크,E 윈터 히어로,유니크,S 스노우 플라워,유니크,RA프리져 스카디 ,레어,E 블리자드 기어 ,유니크,슬라이드 리모네 L,언커먼,프리즌 콜드밴드,레어,첼시 콜라 V,레어,스피드 파워업,언커먼,프로스트 이펙트 ,레어,스테민 터틀,레어,드래곤 플라이R,커먼,쿨 비숍 S,언커먼,냉각 도스프로퍼,레어,허리케인 스위퍼,유니크,False,30,2,5,8,6310,54818,242,313,10540,2400,15,9,893,15,354,149,0,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
배쒼자,웨슬리,원거리딜러,전장의 열기,회피 사격,완전한 성장,E 마인 익스프레스,유니크,E 퀘이크 프론,유니크,E 전장의 매,유니크,E 오퍼레이션 델타,유니크,E 데파르망 ,유니크,E 전쟁의 시작,유니크,SB공성류탄 루인,레어,구급 US타이머,레어,체스터 더블버거,레어,런업 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,공성류탄 임팩트,언커먼,E 장군의 명예,유니크,SB데저트 베티,레어,최후의 폭격명령,유니크,False,42,3,4,10,26315,18825,101,165,13380,2200,20,21,893,41,345,139,0,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
레인데빌라,미아,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 이볼브 가이아,유니크,E 디바인 그레이스,유니크,E 옐로우 루트웨이브,유니크,E 프릭클 에린,유니크,E 와일드 크로스,유니크,E 이네이쳐 게브,유니크,도장 바이리프,레어,가시 바이리프,레어,체스터 더블버거,레어,우드 엑셀,레어,우드 파이크 ,레어,스테민 터틀,레어,세계수 맥시머,레어,E 레드 크로니클,유니크,뿌리 바이리프,레어,트리콜로 트와인,유니크,False,48,8,5,3,31619,20525,120,159,15440,3300,17,34,893,22,284,201,0,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
지존전사v김마틴,스텔라,탱커,최후의 저항,단단한 피부,선봉장,FA아이언 크루저,레어,이너 스코프 ,레어,E 바이퍼트론,유니크,E 스트로매크 ,유니크,E 러스티 하츠,유니크,E 퓨엘 제너레이터,유니크,축퇴 레그람,레어,T1장착-보법,레어,서치 스파클링 ,레어,런업 스프린터,레어,레버 파이크 ,레어,솔리드 스위퍼,레어,섬전연각 임팩트,언커먼,E 스타리 나이트,유니크,섬전연각 레그람,레어,스타 포드인포서,유니크,False,34,4,6,7,13810,40618,276,413,11090,3600,14,3,893,38,269,142,1,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
급식먹으러가욧,윌라드,원거리딜러,전장의 열기,전장의 학살자,완전한 성장,프라디 보크스,레어,S 그랜드 듀크,유니크,E 블레스트 슈트,유니크,S 청천벽력,유니크,E 스틸레토라,유니크,E 라이트 블리츠,유니크,낙뢰 오리악스,레어,구형 루드크리스,레어,체스터 더블버거,레어,런업 스프린터,레어,파이크 이펙션,레어,솔리드 스위퍼,레어,PS 레이더 R4,언커먼,S 블리츠 와일즈,유니크,뇌보법 루베리티,레어,썬더 고르드마스,유니크,False,42,5,3,11,35518,13634,131,195,16410,4300,29,25,893,73,567,74,1,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
RMTCRW,론,원거리딜러,충동 구매,사냥꾼의 본능,전장의 열기,E 자발적 복종,유니크,S 완벽한 계획,유니크,데스메탈재킷,레어,S 검은 의도,유니크,E 계획적 행동이론,유니크,S 모래위의 발자국,유니크,블래스팅 디펜더,레어,스팅어 데스링,레어,체스터 더블버거,레어,샌드 스프린터,레어,파이크 이펙션,레어,스테민 터틀,레어,스팅어 임팩트,언커먼,E 맹렬한 모래바람,유니크,DB더스트 데브,레어,설계된 죽음,유니크,False,56,10,3,12,62912,11144,184,296,18330,3100,21,26,893,73,351,90,1,e8655ffb2f03e94487dd7ff27ffca43d824f4b1df2b4c438d14f9d4f1e94ace9,리버포드
